userName,score,at,content
Jaswen Daryanto,5,2024-06-12 02:03:29,Aplikasi mudah efisien. Pelayanan capil jeruklegi ramah
syaean tok,5,2024-06-12 01:52:33,aplikasi keren
Zeltha Julian,5,2024-06-12 01:52:22,"Aplikasi mudah, pelayanan Capil jeruklegi ramah"
ono sutrisno,5,2024-06-12 01:49:56,UPT Jeruklegi pelayanan ikd bagus
Dina Riyana,5,2024-06-12 01:46:06,Capil jeruklegi pelayanan bagus. Aplikasi ikd gampang
Mario Benny Benny,1,2024-06-12 01:43:45,Jaringan lemah
Ela Fitri,5,2024-06-12 01:41:54,Aplikasi bagus
nurfauziah maryanti,5,2024-06-12 01:39:21,Bagus oke
Ahmad Gito,5,2024-06-12 01:26:54,Bagus
Nur Hasanah,5,2024-06-12 01:18:23,Terbaiiikkk
sabda timur,2,2024-06-12 01:05:04,Kerja dengan baik jngn malas
Kong Ber,3,2024-06-11 23:52:03,"Aplikasih ini bisa digunakan di jaringan yg kuat atau sinyalnya bagus sedangkan kita yang di kampung"" tdk ada jaringan dan sinyal susah trus kalau boleh apk ini bisa pada saat offline jga biar kalau tdk ada sinyal kita bisa buka. Kita masyarakat tdk semua bisa beli hp android dan tdk semua bisa menggunakan nya maka perlu di pertimbangan lagi menggunakan apk ini, trimkasih"
M. Bintang Ramdhani,1,2024-06-11 23:17:24,"Aplikasi pekok, kata nya online pas daftar aplikasi kok suruh ke dukcapil , aplikasi tolol"
Black People,3,2024-06-11 23:03:37,"Susah masuknya, lemottt.."
Darso Cibuni,2,2024-06-11 22:26:16,"Aduh pak,suruh daftar online,tapi aplikasinya nggak mendukung,makin ribet,mau bikin manual di kantor di cuekin g di layanin,hadehh"
Fahrizal Septiansyah,1,2024-06-11 18:57:35,Tambah ribet
Precil Music,1,2024-06-11 18:53:40,"Nyusah i masyarakat cilik,nek ora hp seng apik Ra gelem bukak apk e,ngnu Yo kudu wong sak kecamatan kudu ndue lha seng ora gablek hp ngne i py lek?"
Hadi Ramdani,1,2024-06-11 18:52:46,Aplikasi Paling Ribet
Rizky Hezyam,3,2024-06-11 17:58:10,"applikasinya bagus, tapi tolong donk ditambahin fitur opsi lupa pin pada appikasi nya"
SafRa Al Belly,1,2024-06-11 17:48:25,Makin ribet aja yg tadinya kira mempercepat mala ribet dgn barcode yg d minta
AHMAD NADIRUN0881,5,2024-06-11 16:41:43,Oke Aplikasi pemerintah bintangnya ke banyakan satu 🔯 berarti berlu di perbaiki lagi🙏
iswadi iswadi,4,2024-06-11 16:00:56,Good
Blue Moe,1,2024-06-11 15:56:16,App tolol
youthis chanell,1,2024-06-11 15:31:43,Aplikasi tidak bisa digunakan . Lucu
ZAKI MUSYAFFA,1,2024-06-11 15:16:40,-User Interface
Wahyuni Yuni,5,2024-06-11 13:35:31,Bagus 👍🏻
Pamuji Widodo,1,2024-06-11 10:43:18,"Aplikasi udah bagus,tapi lebih bagus lagi kalo gak usah dibuat soalnya percuma namanya online tapi harus ke kantor,ini developer nya tau arti kata online gak sih?"
Julius Cindera Negara,1,2024-06-11 09:18:49,"Aplikasi sampah, ga malu apa kalian buat aplikasi lemot begini? Pake cerita2 wajib dipake lagi."
Aji Wahyudiarto,4,2024-06-11 08:36:14,"good app, tinggal pemnfaatanya smg pemerintah sat set"
RusdI Bahalwan,5,2024-06-11 08:12:28,Maaf aplikasi ektp digital saya ga bisa dibuka... Mohon bantuan nya
Achmad Ch S,1,2024-06-11 08:08:02,"Saya mengajukan perubahan golongan darah yang semula statusnyan TIDAK TAHU untuk dirubah menjadi golongan darah A, sejak tgl 5/2/2024 sampai saat ini tgl 11/6/2024 tidak direspon....hadeuh pelayanannya 👎👎👎"
rafa aulia,3,2024-06-11 06:52:20,"Maaf nih y bang,ni aplikasi agak riweh , aplikasi infrared, kaya bukan online. Udah pindah KK 2 taun NIK masih harus 1 -1 diaktifin. Udah diaktifin mo buat daftar sekolah anak masih terdaftar diluar wilayah. Bolak balik k kecamatan, dukcapil bbrp kali. Mohon diperbaiki sistem nya."
riska mardianova,1,2024-06-11 06:51:36,Saya belum mengganti pin/kata sandi. Tapi udah gak sesuai saja 😡 TOLONG JANGAN MEMPERSULIT.
r yusuf ranu,1,2024-06-11 06:36:22,"mau tanya sebenernya fungsi di ganti ke digital itu apa? ini aplikasi wajib punya, tapi ga guna. kita udah punya tapi tetep diminta fotocopy KTP kalo urus ke kelurahan, sedangkan di kelurahan blanko nya banyak yg kosong. mending hapus aja deh buang2 anggaran"
Yulisran B Putra,5,2024-06-11 05:58:10,Bagus sekali Aplikasinya... 👍🙏
Mei May,5,2024-06-11 05:04:28,bagus
Gibran Gibran,5,2024-06-11 05:00:12,Aplikasi mudah
jologresik,1,2024-06-11 04:21:46,Barcode harus ke kecamatan itu bukan namanya memudahkan ADANYA MENYUSAHKAN
Lia Safitri,5,2024-06-11 04:04:51,Terbaik
Miza Agustriangga,1,2024-06-11 04:04:05,Sulit + buruk sekali
riyan riyadi,5,2024-06-11 03:39:53,Aplikasi mudah. Uptd capil jeruklegi jaya
Nur Hasanah,5,2024-06-11 03:39:12,"Aplikasi mudah, capil jeruklegi kab cilacap pelayanan prima"
surat man,5,2024-06-11 03:37:31,"Capil jeruklegi kab Cilacap mantap, aplikasi ikd mudah"
Eko Pujianto,1,2024-06-11 03:20:13,"Online online kok harus ke kantor juga, percuma."
Muhamad Azis,2,2024-06-11 03:16:33,Dokumen tidak bisa diunduh yang seharusnya memudahkan malah menyusahkan aplikasi lambat padahl koneksi lancar mohon segera diperbaiki terimakasih
ferraferrasa CP,5,2024-06-11 03:14:56,KTP digital mudahh. Capil jeruklegi kab cilacap pelayanan prima
Raswanto Clp,5,2024-06-11 03:13:00,"Pelayanan ramah, KTP digital mudah. Capil jeruklegi kab Cilacap jaya"
Wahyu,5,2024-06-11 03:08:25,"Bagus, Capil Cilacap jaya"
Sarif Udin,5,2024-06-11 03:07:33,"Capil jeruklegi kab cilacap baus, ikd mudah"
hisyam arraji,5,2024-06-11 03:05:26,"Capil jeruklegi pelayanan ramah, idk mudah"
Dian Anjar,5,2024-06-11 03:00:21,"Capil Jeruklegi bagus, KTP digital mudah"
Syivah tunjanah,5,2024-06-11 02:58:32,"upt jeruklegi pelayanan ramah, aplikasi ikd gampang"
